DamslActTag,Text
ft,"<Laughter> Thank you,"
ft,<<Long pause>> <<Voices in background>> Thank you.
ft,thanks.
ft,hey thanks so much.
ft,"thank you,"
ft,"Hey thanks a lot,"
ft,"thank you,"
ft,"Well, thanks for calling --"
ft,"Well thanks,"
ft,"# thanks for the tip, Jim. #"
ft,Thank you.
ft,# Thanks for call. #
ft,Thank you.
ft,thanks.
ft,thank you.
ft,"Well, thank you."
ft,(( thank you )) .
ft,Thank you.
ft,"Hey, well thanks for the call."
ft,Thank you for noticing <laughter>.
ft,Thanks for punching in
ft,Thank you. <<pause>>
ft,Thanks <<pause>>.
ft,"Thanks,"
ft,"Oh, thank you."
ft,And thanks for calling.
ft,"well, thank you."
ft,"thank you,"
ft,Thank you very much.
ft,Thank you <talking> <<Talking to someone else in background>>.
ft,"Thank you,"
ft,Thank you <laughter>.
ft,Oh thanks <laughter>.
ft,"well, thanks so much."
ft,"Oh well, thanks."
ft,and thank you for calling.
ft,Thank you very much.
ft,"Well, thank you."
ft,Thank you.
ft,"Well thanks for being home, uh, on the weekend,"
ft,thanks a lot.
ft,Well thanks a lot.
ft,<laughter> thank you. #
ft,Thanks.
ft,Thanks.
ft,"well, thank you very much."
ft,"Well, thank you <laughter>."
ft,Thanks.
ft,Thank you <<long pause>>.
ft,"well thanks a bunch,"
ft,"<Laughter> Thank you, <laughter>"
ft,Thanks.
ft,Thanks.
ft,"Well I really appreciate all the helpful tips,"
ft,"an, and # thanks for participating. #"
ft,Thank you.
ft,"Uh, well, thank you."
ft,Thank you.
ft,"Well, thanks,"
ft,"thanks for that, uh, reference."
